country,year,patents
AR,1993,28
AR,1994,40
AR,1995,41
AR,1996,36
AR,1997,45
AR,1998,59
AR,1999,60
AR,2000,73
AR,2001,62
AR,2002,64
AR,2003,78
AR,2004,68
AR,2005,43
AR,2006,63
AR,2007,78
AR,2008,60
AR,2009,65
AR,2010,72
AR,2011,103
AR,2012,108
AR,2013,121
AR,2014,127
AR,2015,127
AR,2016,143
AR,2017,140
AR,2018,145
AR,2019,195
AR,2020,175
AR,2021,172
AR,2022,172
AR,2023,182
AR,2024,180
AR,2025,182
AT,1976,274
AT,1977,266
AT,1978,281
AT,1979,248
AT,1980,283
AT,1981,311
AT,1982,255
AT,1983,292
AT,1984,296
AT,1985,354
AT,1986,406
AT,1987,398
AT,1988,385
AT,1989,449
AT,1990,460
AT,1991,416
AT,1992,429
AT,1993,379
AT,1994,358
AT,1995,402
AT,1996,417
AT,1997,436
AT,1998,502
AT,1999,594
AT,2000,673
AT,2001,717
AT,2002,655
AT,2003,751
AT,2004,731
AT,2005,595
AT,2006,726
AT,2007,654
AT,2008,669
AT,2009,908
AT,2010,1097
AT,2011,1123
AT,2012,1225
AT,2013,1416
AT,2014,1630
AT,2015,1628
AT,2016,1891
AT,2017,2055
AT,2018,1885
AT,2019,2173
AT,2020,2084
AT,2021,1913
AT,2022,1846
AT,2023,1767
AT,2024,2152
AT,2025,2015
AU,1976,280
AU,1977,284
AU,1978,349
AU,1979,261
AU,1980,363
AU,1981,422
AU,1982,391
AU,1983,355
AU,1984,405
AU,1985,470
AU,1986,498
AU,1987,495
AU,1988,515
AU,1989,645
AU,1990,570
AU,1991,617
AU,1992,546
AU,1993,535
AU,1994,623
AU,1995,614
AU,1996,625
AU,1997,615
AU,1998,811
AU,1999,935
AU,2000,970
AU,2001,1134
AU,2002,1110
AU,2003,1201
AU,2004,1234
AU,2005,1171
AU,2006,1717
AU,2007,1689
AU,2008,1784
AU,2009,1761
AU,2010,2387
AU,2011,2550
AU,2012,2102
AU,2013,2273
AU,2014,2514
AU,2015,2402
AU,2016,2321
AU,2017,2516
AU,2018,2473
AU,2019,2800
AU,2020,2884
AU,2021,2831
AU,2022,2713
AU,2023,2550
AU,2024,2756
AU,2025,2734
AZ,1977,1
AZ,1993,1
AZ,1994,1
AZ,1996,2
AZ,1999,2
AZ,2000,2
AZ,2003,1
AZ,2004,2
AZ,2006,1
AZ,2007,2
AZ,2008,2
AZ,2011,4
AZ,2012,2
AZ,2013,4
AZ,2014,2
AZ,2015,2
AZ,2016,2
AZ,2017,3
AZ,2018,2
AZ,2019,1
AZ,2020,1
AZ,2021,1
AZ,2022,1
AZ,2024,2
AZ,2025,2
BA,1977,3
BA,1981,1
BA,1983,1
BA,1985,1
BA,1989,1
BA,1992,2
BA,2001,2
BA,2002,1
BA,2003,1
BA,2007,1
BA,2008,2
BA,2009,1
BA,2010,1
BA,2011,2
BA,2012,4
BA,2013,1
BA,2015,1
BA,2016,4
BA,2017,5
BA,2018,4
BA,2019,7
BA,2020,4
BA,2021,3
BA,2022,2
BA,2023,5
BA,2024,5
BA,2025,11
BB,1978,1
BB,1986,2
BB,1987,2
BB,1988,1
BB,1989,1
BB,1992,1
BB,1994,1
BB,1999,1
BB,2001,4
BB,2002,4
BB,2003,2
BB,2006,3
BB,2007,1
BB,2008,3
BB,2009,3
BB,2010,4
BB,2012,2
BB,2013,1
BB,2014,8
BB,2015,9
BB,2016,6
BB,2017,6
BB,2018,2
BB,2019,3
BB,2020,7
BB,2021,5
BB,2022,6
BB,2023,5
BB,2024,6
BB,2025,4
BD,1976,1
BD,1977,2
BD,1978,2
BD,1980,1
BD,1988,1
BD,1993,1
BD,2001,2
BD,2002,1
BD,2003,4
BD,2005,1
BD,2007,4
BD,2009,2
BD,2012,5
BD,2013,6
BD,2014,7
BD,2015,5
BD,2016,4
BD,2017,12
BD,2018,14
BD,2019,17
BD,2020,9
BD,2021,15
BD,2022,8
BD,2023,3
BD,2024,26
BD,2025,23
BE,1976,370
BE,1977,293
BE,1978,303
BE,1979,209
BE,1980,285
BE,1981,317
BE,1982,264
BE,1983,249
BE,1984,302
BE,1985,280
BE,1986,297
BE,1987,368
BE,1988,369
BE,1989,437
BE,1990,417
BE,1991,450
BE,1992,457
BE,1993,467
BE,1994,495
BE,1995,526
BE,1996,643
BE,1997,681
BE,1998,879
BE,1999,902
BE,2000,975
BE,2001,1062
BE,2002,1053
BE,2003,997
BE,2004,953
BE,2005,780
BE,2006,959
BE,2007,886
BE,2008,865
BE,2009,1013
BE,2010,1320
BE,2011,1360
BE,2012,1453
BE,2013,1683
BE,2014,1852
BE,2015,1815
BE,2016,1897
BE,2017,1985
BE,2018,1984
BE,2019,2222
BE,2020,2116
BE,2021,1927
BE,2022,2034
BE,2023,1791
BE,2024,2017
BE,2025,2073
BF,1977,1
BF,1983,1
BF,1984,1
BF,1987,1
BF,1989,3
BF,1990,2
BF,1991,1
BF,1993,2
BF,1994,3
BF,2003,1
BF,2005,1
BF,2008,1
BF,2009,1
BF,2011,1
BF,2015,1
BF,2019,1
BF,2020,1
BF,2023,1
BG,1976,65
BG,1977,78
BG,1978,91
BG,1979,45
BG,1980,78
BG,1981,72
BG,1982,47
BG,1983,49
BG,1984,56
BG,1985,44
BG,1986,46
BG,1987,51
BG,1988,48
BG,1989,36
BG,1990,46
BG,1991,36
BG,1992,13
BG,1993,10
BG,1994,6
BG,1995,3
BG,1996,7
BG,1997,8
BG,1998,10
BG,1999,7
BG,2000,4
BG,2001,7
BG,2002,12
BG,2003,16
BG,2004,12
BG,2005,9
BG,2006,8
BG,2007,10
BG,2008,25
BG,2009,54
BG,2010,81
BG,2011,60
BG,2012,39
BG,2013,52
BG,2014,67
BG,2015,55
BG,2016,79
BG,2017,63
BG,2018,61
BG,2019,83
BG,2020,91
BG,2021,115
BG,2022,98
BG,2023,115
BG,2024,147
BG,2025,118
BH,1981,1
BH,1984,1
BH,1993,1
BH,1997,1
BH,1999,1
BH,2000,1
BH,2010,1
BH,2011,1
BH,2012,4
BH,2013,3
BH,2014,7
BH,2015,4
BH,2016,5
BH,2017,6
BH,2018,11
BH,2019,9
BH,2020,4
BH,2021,5
BH,2022,9
BH,2023,8
BH,2024,8
BH,2025,6
BI,2021,1
BJ,2007,1
BJ,2025,1
BM,1976,2
BM,1977,2
BM,1978,3
BM,1979,3
BM,1980,3
BM,1981,5
BM,1982,4
BM,1983,5
BM,1984,9
BM,1985,9
BM,1986,11
BM,1987,8
BM,1988,11
BM,1989,13
BM,1990,13
BM,1991,7
BM,1992,16
BM,1993,7
BM,1994,4
BM,1995,5
BM,1996,16
BM,1997,7
BM,1998,5
BM,1999,9
BM,2000,11
BM,2001,12
BM,2002,13
BM,2003,13
BM,2004,3
BM,2005,12
BM,2006,14
BM,2007,15
BM,2008,25
BM,2009,11
BM,2010,15
BM,2011,25
BM,2012,22
BM,2013,35
BM,2014,38
BM,2015,24
BM,2016,42
BM,2017,33
BM,2018,60
BM,2019,75
BM,2020,81
BM,2021,49
BM,2022,24
BM,2023,10
BM,2024,8
BM,2025,5
BN,1979,1
BN,1986,1
BN,1991,1
BN,2001,1
BN,2004,1
BN,2009,1
BN,2011,2
BN,2013,1
BN,2015,4
BN,2016,7
BN,2017,6
BN,2018,3
BN,2019,8
BN,2020,15
BN,2021,3
BN,2022,1
BN,2023,1
BN,2025,2
BO,1976,3
BO,1977,1
BO,1978,1
BO,1980,1
BO,1981,2
BO,1985,1
BO,1986,1
BO,1987,3
BO,1989,1
BO,1996,3
BO,1997,2
BO,1998,9
BO,1999,2
BO,2000,2
BO,2002,1
BO,2004,2
BO,2005,4
BO,2007,1
BO,2008,1
BO,2009,3
BO,2010,2
BO,2011,2
BO,2012,3
BO,2013,3
BO,2014,5
BO,2015,2
BO,2016,2
BO,2017,3
BO,2018,2
BO,2019,3
BO,2020,6
BO,2021,2
BO,2022,1
BO,2023,2
BO,2024,3
BR,1976,27
BR,1977,26
BR,1978,32
BR,1979,27
BR,1980,37
BR,1981,35
BR,1982,41
BR,1983,40
BR,1984,32
BR,1985,45
BR,1986,54
BR,1987,62
BR,1988,67
BR,1989,56
BR,1990,66
BR,1991,78
BR,1992,54
BR,1993,81
BR,1994,72
BR,1995,88
BR,1996,93
BR,1997,101
BR,1998,119
BR,1999,138
BR,2000,143
BR,2001,168
BR,2002,152
BR,2003,218
BR,2004,196
BR,2005,118
BR,2006,202
BR,2007,155
BR,2008,184
BR,2009,212
BR,2010,290
BR,2011,343
BR,2012,343
BR,2013,397
BR,2014,527
BR,2015,533
BR,2016,535
BR,2017,582
BR,2018,591
BR,2019,668
BR,2020,720
BR,2021,693
BR,2022,726
BR,2023,676
BR,2024,718
BR,2025,770
BS,1978,8
BS,1979,6
BS,1980,8
BS,1981,10
BS,1982,3
BS,1983,4
BS,1984,5
BS,1985,5
BS,1986,2
BS,1987,2
BS,1988,3
BS,1989,5
BS,1990,3
BS,1991,9
BS,1992,4
BS,1993,6
BS,1994,5
BS,1995,6
BS,1996,6
BS,1997,10
BS,1998,13
BS,1999,13
BS,2000,17
BS,2001,16
BS,2002,18
BS,2003,13
BS,2004,11
BS,2005,11
BS,2006,7
BS,2007,7
BS,2008,5
BS,2009,7
BS,2010,10
BS,2011,12
BS,2012,9
BS,2013,9
BS,2014,5
BS,2015,16
BS,2016,9
BS,2017,3
BS,2018,6
BS,2019,9
BS,2020,6
BS,2021,4
BS,2022,7
BS,2023,5
BS,2024,5
BS,2025,9
BT,1988,1
BT,1999,1
BT,2002,1
BW,1985,1
BW,2016,1
BW,2024,1
BY,1976,10
BY,1977,6
BY,1978,6
BY,1979,12
BY,1980,16
BY,1981,11
BY,1982,10
BY,1983,10
BY,1984,9
BY,1985,8
BY,1986,7
BY,1987,5
BY,1988,3
BY,1989,15
BY,1990,12
BY,1991,10
BY,1992,3
BY,1993,2
BY,1994,4
BY,1995,6
BY,1996,6
BY,1997,4
BY,1998,11
BY,1999,8
BY,2000,6
BY,2001,13
BY,2002,5
BY,2003,7
BY,2004,5
BY,2005,4
BY,2006,9
BY,2007,15
BY,2008,10
BY,2009,10
BY,2010,12
BY,2011,11
BY,2012,11
BY,2013,17
BY,2014,22
BY,2015,49
BY,2016,37
BY,2017,23
BY,2018,24
BY,2019,24
BY,2020,37
BY,2021,36
BY,2022,45
BY,2023,52
BY,2024,49
BY,2025,32
BZ,1991,1
BZ,1995,1
BZ,1999,1
BZ,2009,1
BZ,2011,1
BZ,2015,1
BZ,2018,2
BZ,2020,2
BZ,2021,3
BZ,2023,2
BZ,2024,2
CA,1976,1281
CA,1977,1417
CA,1978,1417
CA,1979,1004
CA,1980,1280
CA,1981,1362
CA,1982,1243
CA,1983,1183
CA,1984,1387
CA,1985,1516
CA,1986,1524
CA,1987,1838
CA,1988,1728
CA,1989,2255
CA,1990,2221
CA,1991,2468
CA,1992,2381
CA,1993,2436
CA,1994,2563
CA,1995,2605
CA,1996,2850
CA,1997,3037
CA,1998,3660
CA,1999,4011
CA,2000,4312
CA,2001,4484
CA,2002,4370
CA,2003,4424
CA,2004,4303
CA,2005,3678
CA,2006,4685
CA,2007,4542
CA,2008,4750
CA,2009,5080
CA,2010,6438
CA,2011,6777
CA,2012,7598
CA,2013,8571
CA,2014,9208
CA,2015,8934
CA,2016,8763
CA,2017,9435
CA,2018,9006
CA,2019,10457
CA,2020,10099
CA,2021,9456
CA,2022,9144
CA,2023,9575
CA,2024,9751
CA,2025,10055
CD,1978,1
CD,1979,2
CD,1981,1
CD,1984,1
CD,1985,1
CD,1986,1
CD,1989,1
CD,1992,1
CD,1993,2
CD,1995,1
CD,1997,3
CD,1998,7
CD,1999,1
CD,2000,1
CD,2001,1
CD,2004,2
CD,2005,2
CD,2006,2
CD,2007,3
CD,2009,1
CD,2012,1
CD,2013,1
CD,2017,1
CD,2018,5
CD,2019,2
CD,2021,1
CF,1998,1
CF,2011,1
CF,2015,1
CF,2018,1
CF,2019,2
CG,1981,1
CG,2014,1
CG,2022,1
CH,1976,1572
CH,1977,1494
CH,1978,1447
CH,1979,1116
CH,1980,1369
CH,1981,1348
CH,1982,1268
CH,1983,1132
CH,1984,1315
CH,1985,1371
CH,1986,1338
CH,1987,1547
CH,1988,1390
CH,1989,1541
CH,1990,1489
CH,1991,1596
CH,1992,1431
CH,1993,1324
CH,1994,1413
CH,1995,1312
CH,1996,1376
CH,1997,1384
CH,1998,1564
CH,1999,1702
CH,2000,1802
CH,2001,1905
CH,2002,1911
CH,2003,1843
CH,2004,1738
CH,2005,1385
CH,2006,1743
CH,2007,1591
CH,2008,1770
CH,2009,1860
CH,2010,2433
CH,2011,2525
CH,2012,2807
CH,2013,3361
CH,2014,3557
CH,2015,3767
CH,2016,3858
CH,2017,4030
CH,2018,3961
CH,2019,4386
CH,2020,4280
CH,2021,4072
CH,2022,4036
CH,2023,3923
CH,2024,4409
CH,2025,4515
CI,1977,1
CI,1982,1
CI,1987,1
CI,1988,1
CI,1993,1
CI,1995,1
CI,2001,1
CI,2004,1
CI,2006,1
CI,2007,1
CI,2009,1
CI,2011,2
CI,2012,3
CI,2013,6
CI,2014,2
CI,2016,10
CI,2017,2
CI,2019,1
CI,2020,1
CK,1996,1
CL,1976,5
CL,1977,6
CL,1978,5
CL,1979,3
CL,1980,7
CL,1981,7
CL,1982,4
CL,1983,4
CL,1984,7
CL,1985,2
CL,1986,4
CL,1987,5
CL,1988,11
CL,1989,7
CL,1990,3
CL,1991,10
CL,1992,6
CL,1993,15
CL,1994,15
CL,1995,11
CL,1996,7
CL,1997,11
CL,1998,26
CL,1999,17
CL,2000,19
CL,2001,20
CL,2002,19
CL,2003,20
CL,2004,23
CL,2005,19
CL,2006,24
CL,2007,34
CL,2008,26
CL,2009,33
CL,2010,43
CL,2011,46
CL,2012,52
CL,2013,65
CL,2014,84
CL,2015,93
CL,2016,76
CL,2017,66
CL,2018,72
CL,2019,75
CL,2020,94
CL,2021,99
CL,2022,99
CL,2023,93
CL,2024,95
CL,2025,96
CM,1977,1
CM,1978,2
CM,1979,3
CM,1980,1
CM,1981,6
CM,1982,11
CM,1983,8
CM,1984,24
CM,1985,26
CM,1986,48
CM,1987,60
CM,1988,48
CM,1989,60
CM,1990,70
CM,1991,71
CM,1992,76
CM,1993,70
CM,1994,79
CM,1995,80
CM,1996,51
CM,1997,32
CM,1998,38
CM,1999,59
CM,2000,58
CM,2001,72
CM,2002,87
CM,2003,100
CM,2004,91
CM,2005,101
CM,2006,135
CM,2007,114
CM,2008,75
CM,2009,103
CM,2010,104
CM,2011,95
CM,2012,124
CM,2013,117
CM,2014,123
CM,2015,159
CM,2016,246
CM,2017,385
CM,2018,335
CM,2019,457
CM,2020,403
CM,2021,343
CM,2022,148
CM,2023,1
CM,2025,1
CN,1976,34
CN,1977,35
CN,1978,34
CN,1979,42
CN,1980,60
CN,1981,85
CN,1982,79
CN,1983,76
CN,1984,94
CN,1985,91
CN,1986,143
CN,1987,147
CN,1988,178
CN,1989,209
CN,1990,236
CN,1991,300
CN,1992,247
CN,1993,286
CN,1994,319
CN,1995,379
CN,1996,366
CN,1997,397
CN,1998,559
CN,1999,622
CN,2000,823
CN,2001,1063
CN,2002,1219
CN,2003,1357
CN,2004,1510
CN,2005,1465
CN,2006,2267
CN,2007,2542
CN,2008,3237
CN,2009,3572
CN,2010,5069
CN,2011,5515
CN,2012,7455
CN,2013,9059
CN,2014,10553
CN,2015,11704
CN,2016,14747
CN,2017,18088
CN,2018,19888
CN,2019,26721
CN,2020,30543
CN,2021,33727
CN,2022,39472
CN,2023,37932
CN,2024,51394
CN,2025,58046
CO,1976,6
CO,1977,3
CO,1978,10
CO,1979,7
CO,1980,6
CO,1981,7
CO,1982,6
CO,1983,6
CO,1984,9
CO,1985,4
CO,1986,7
CO,1987,6
CO,1988,7
CO,1989,6
CO,1990,7
CO,1991,5
CO,1992,7
CO,1993,8
CO,1994,10
CO,1995,16
CO,1996,11
CO,1997,13
CO,1998,7
CO,1999,10
CO,2000,14
CO,2001,16
CO,2002,9
CO,2003,16
CO,2004,15
CO,2005,14
CO,2006,10
CO,2007,8
CO,2008,15
CO,2009,12
CO,2010,19
CO,2011,31
CO,2012,23
CO,2013,38
CO,2014,42
CO,2015,41
CO,2016,50
CO,2017,54
CO,2018,68
CO,2019,75
CO,2020,68
CO,2021,60
CO,2022,82
CO,2023,87
CO,2024,81
CO,2025,107
CR,1976,2
CR,1977,1
CR,1978,9
CR,1979,5
CR,1980,5
CR,1981,8
CR,1982,3
CR,1984,1
CR,1985,14
CR,1986,6
CR,1987,3
CR,1988,3
CR,1989,1
CR,1990,3
CR,1991,5
CR,1992,1
CR,1993,5
CR,1994,8
CR,1995,13
CR,1996,10
CR,1997,7
CR,1998,5
CR,1999,14
CR,2000,7
CR,2001,13
CR,2002,9
CR,2003,10
CR,2004,11
CR,2005,14
CR,2006,26
CR,2007,21
CR,2008,15
CR,2009,24
CR,2010,14
CR,2011,16
CR,2012,16
CR,2013,14
CR,2014,29
CR,2015,33
CR,2016,38
CR,2017,28
CR,2018,45
CR,2019,34
CR,2020,79
CR,2021,85
CR,2022,66
CR,2023,73
CR,2024,70
CR,2025,76
CU,1977,1
CU,1978,1
CU,1979,2
CU,1980,1
CU,1981,1
CU,1984,2
CU,1985,1
CU,1986,1
CU,1987,1
CU,1989,1
CU,1991,2
CU,1993,2
CU,1994,4
CU,1997,4
CU,1998,6
CU,1999,3
CU,2000,3
CU,2001,4
CU,2002,9
CU,2003,7
CU,2004,2
CU,2005,3
CU,2006,2
CU,2007,3
CU,2008,6
CU,2009,4
CU,2010,8
CU,2011,6
CU,2012,5
CU,2013,14
CU,2014,21
CU,2015,12
CU,2016,11
CU,2017,10
CU,2018,8
CU,2019,5
CU,2020,5
CU,2021,7
CU,2022,2
CU,2023,6
CU,2024,5
CU,2025,5
CV,2019,1
CY,1979,1
CY,1980,1
CY,1982,1
CY,1986,2
CY,1987,1
CY,1988,1
CY,1989,3
CY,1990,3
CY,1992,1
CY,1993,1
CY,1994,4
CY,1995,3
CY,1997,6
CY,1998,2
CY,2000,1
CY,2001,5
CY,2002,2
CY,2003,1
CY,2004,4
CY,2005,6
CY,2006,6
CY,2007,7
CY,2008,3
CY,2009,8
CY,2010,12
CY,2011,7
CY,2012,11
CY,2013,14
CY,2014,25
CY,2015,15
CY,2016,19
CY,2017,16
CY,2018,26
CY,2019,29
CY,2020,28
CY,2021,23
CY,2022,30
CY,2023,23
CY,2024,27
CY,2025,49
CZ,1976,91
CZ,1977,79
CZ,1978,77
CZ,1979,43
CZ,1980,55
CZ,1981,34
CZ,1982,39
CZ,1983,30
CZ,1984,32
CZ,1985,45
CZ,1986,32
CZ,1987,36
CZ,1988,26
CZ,1989,22
CZ,1990,31
CZ,1991,24
CZ,1992,17
CZ,1993,13
CZ,1994,15
CZ,1995,16
CZ,1996,15
CZ,1997,25
CZ,1998,34
CZ,1999,46
CZ,2000,75
CZ,2001,49
CZ,2002,51
CZ,2003,67
CZ,2004,55
CZ,2005,60
CZ,2006,57
CZ,2007,64
CZ,2008,78
CZ,2009,94
CZ,2010,125
CZ,2011,156
CZ,2012,195
CZ,2013,236
CZ,2014,312
CZ,2015,323
CZ,2016,341
CZ,2017,429
CZ,2018,492
CZ,2019,554
CZ,2020,512
CZ,2021,461
CZ,2022,452
CZ,2023,457
CZ,2024,472
CZ,2025,421
DE,1976,60
DE,1977,52
DE,1978,3276
DE,1979,4707
DE,1980,6030
DE,1981,6626
DE,1982,5751
DE,1983,5775
DE,1984,6624
DE,1985,7043
DE,1986,7194
DE,1987,8284
DE,1988,7758
DE,1989,8858
DE,1990,8117
DE,1991,8232
DE,1992,7886
DE,1993,7516
DE,1994,7315
DE,1995,7221
DE,1996,7568
DE,1997,7650
DE,1998,9838
DE,1999,10607
DE,2000,11631
DE,2001,12829
DE,2002,12969
DE,2003,13124
DE,2004,12348
DE,2005,10404
DE,2006,11897
DE,2007,10942
DE,2008,11113
DE,2009,11443
DE,2010,15114
DE,2011,14501
DE,2012,16829
DE,2013,18829
DE,2014,19891
DE,2015,20175
DE,2016,19860
DE,2017,20935
DE,2018,19885
DE,2019,22843
DE,2020,22213
DE,2021,20350
DE,2022,19766
DE,2023,17483
DE,2024,19973
DE,2025,20078
DJ,2018,2
DK,1976,178
DK,1977,172
DK,1978,189
DK,1979,129
DK,1980,173
DK,1981,140
DK,1982,140
DK,1983,155
DK,1984,167
DK,1985,229
DK,1986,217
DK,1987,251
DK,1988,208
DK,1989,256
DK,1990,215
DK,1991,292
DK,1992,283
DK,1993,287
DK,1994,322
DK,1995,327
DK,1996,365
DK,1997,468
DK,1998,535
DK,1999,651
DK,2000,558
DK,2001,628
DK,2002,644
DK,2003,691
DK,2004,601
DK,2005,536
DK,2006,616
DK,2007,594
DK,2008,641
DK,2009,607
DK,2010,898
DK,2011,976
DK,2012,1127
DK,2013,1290
DK,2014,1455
DK,2015,1418
DK,2016,1459
DK,2017,1479
DK,2018,1469
DK,2019,1669
DK,2020,1626
DK,2021,1597
DK,2022,1641
DK,2023,1546
DK,2024,1850
DK,2025,1893
DM,1997,1
DM,2000,1
DM,2001,2
DM,2006,1
DM,2019,1
DM,2020,2
DM,2023,1
DO,1978,2
DO,1981,1
DO,1983,1
DO,1984,2
DO,1986,1
DO,1989,2
DO,1990,1
DO,1991,3
DO,1993,1
DO,1994,2
DO,1995,1
DO,1996,1
DO,1997,1
DO,1998,1
DO,1999,3
DO,2000,3
DO,2002,1
DO,2003,1
DO,2004,1
DO,2005,2
DO,2006,2
DO,2007,3
DO,2008,3
DO,2009,8
DO,2010,4
DO,2011,4
DO,2012,4
DO,2013,12
DO,2014,4
DO,2015,3
DO,2016,4
DO,2017,8
DO,2018,4
DO,2019,9
DO,2020,4
DO,2021,7
DO,2022,5
DO,2023,15
DO,2024,13
DO,2025,9
DZ,1976,1
DZ,1977,1
DZ,1980,1
DZ,1981,2
DZ,1983,1
DZ,1984,4
DZ,1986,3
DZ,1987,1
DZ,1988,1
DZ,1989,2
DZ,1990,7
DZ,1991,5
DZ,1992,2
DZ,1993,1
DZ,1994,1
DZ,1995,1
DZ,1996,1
DZ,1998,1
DZ,1999,1
DZ,2000,2
DZ,2001,1
DZ,2004,2
DZ,2006,2
DZ,2010,1
DZ,2012,1
DZ,2013,4
DZ,2014,2
DZ,2015,1
DZ,2016,2
DZ,2017,3
DZ,2018,5
DZ,2019,2
DZ,2020,3
DZ,2021,4
DZ,2022,8
DZ,2023,9
DZ,2024,6
DZ,2025,5
EC,1976,16
EC,1977,9
EC,1978,5
EC,1979,9
EC,1980,13
EC,1981,8
EC,1982,5
EC,1983,4
EC,1984,5
EC,1985,7
EC,1986,9
EC,1987,8
EC,1988,5
EC,1989,4
EC,1990,3
EC,1991,9
EC,1992,1
EC,1993,5
EC,1994,2
EC,1995,3
EC,1996,1
EC,1997,1
EC,1998,7
EC,1999,4
EC,2000,1
EC,2001,7
EC,2002,2
EC,2003,5
EC,2004,3
EC,2005,3
EC,2006,3
EC,2007,6
EC,2008,2
EC,2009,6
EC,2010,5
EC,2011,7
EC,2012,6
EC,2013,11
EC,2014,5
EC,2015,3
EC,2016,7
EC,2017,7
EC,2018,6
EC,2019,8
EC,2020,6
EC,2021,16
EC,2022,10
EC,2023,3
EC,2024,7
EC,2025,6
EE,1980,2
EE,1981,3
EE,1982,3
EE,1983,3
EE,1984,10
EE,1985,5
EE,1986,1
EE,1987,10
EE,1989,4
EE,1990,9
EE,1991,6
EE,1992,2
EE,1993,4
EE,1994,8
EE,1995,9
EE,1996,3
EE,1999,2
EE,2000,7
EE,2001,4
EE,2002,7
EE,2003,6
EE,2004,4
EE,2005,5
EE,2006,5
EE,2007,12
EE,2008,5
EE,2009,8
EE,2010,18
EE,2011,16
EE,2012,57
EE,2013,52
EE,2014,56
EE,2015,61
EE,2016,52
EE,2017,58
EE,2018,62
EE,2019,69
EE,2020,53
EE,2021,73
EE,2022,66
EE,2023,67
EE,2024,71
EE,2025,83
EG,1976,2
EG,1977,2
EG,1979,1
EG,1980,2
EG,1981,2
EG,1982,4
EG,1983,1
EG,1984,6
EG,1985,6
EG,1986,9
EG,1987,7
EG,1988,6
EG,1989,5
EG,1990,3
EG,1991,7
EG,1992,4
EG,1993,4
EG,1994,7
EG,1995,8
EG,1996,7
EG,1997,4
EG,1998,3
EG,1999,9
EG,2000,17
EG,2001,14
EG,2002,8
EG,2003,13
EG,2004,11
EG,2005,13
EG,2006,8
EG,2007,21
EG,2008,10
EG,2009,13
EG,2010,30
EG,2011,32
EG,2012,51
EG,2013,52
EG,2014,67
EG,2015,51
EG,2016,74
EG,2017,70
EG,2018,92
